name,latitude,longitude
acro2,-10.282743,-67.808303
acro20,-10.3359099999794,-67.561303999961
acro21,-10.222411,-67.36931
acro22,-10.44771799998963,-67.76673599999413
acro23,-9.89628400184387,-67.43955200130701
acro24,-10.29689799991758,-67.88351699998587
acro25,-10.423614000000,-67.834191000000
acro26,-10.480426000000,-67.851834000000
acro27,-9.989959999652818,-67.16136400010843
acro28,-10.63774300341524,-67.7995169998798
acro29,-10.614718000000,-67.804871000000
acro3,-10.10802686550092,-67.57212703280298
acro30,-10.42550300085541,-67.69255799923219
acro31,-10.105580000000,-67.853291000000
acro32,-10.208455,-67.654812
acro33,-10.51623099877984,-67.89904600060819
acro34,-10.11258500087993,-67.66288600031467
acro35,-10.06900499957486,-67.0376099985432
acro36,-9.915916561123773,-66.94015146807523
acro37,-10.29456400007118,-67.91961300043846
acro38,-10.38108899975359,-67.62404299983494
acro39,-10.51670700428989,-67.89805000049704
acro4,-10.248120000000,-67.161154000000
acro40,-10.23007100001788,-67.56995200012646
acro41,-10.17701200699489,-67.99874783515794
acro42,-10.3691869997181,-67.66304399987141
acro43,-10.38832302092783,-67.61911399990079
acro44,-10.26308102377133,-67.56317799850196
acro45,-10.02688800041622,-67.73584599961229
acro5,-10.416062000000,-67.672470000000
acro6,-10.41881100000,-67.67010500000
acro7,-10.185468,-67.607893
acro8,-10.25776899959499,-67.58759199960522
acro9,-10.22862695326962,-67.98791168823773
acroc,-9.895957001027567,-67.519214999569
acrov,-10.15548399221962,-67.85855499768945
acrp1,-10.054917,-67.616657
acrp10,-9.737391000000,-67.241952000000
acrp11,-9.713784918406587,-67.12034745480598
acrp12,-9.732533005891648,-67.1220220015378
acrp13,-9.947835999977032,-67.26083800003028
acrp14,-9.899157998645114,-66.8675459976256
acrp2,-9.917373,-66.99968800000001
acrp3,-10.145628000000,-67.045995000000
acrp4,-9.987479998170867,-67.49870299999642
acrp5,-9.766479000655943,-67.19254599991586
acrp6,-9.727481002326327,-67.12996899795978
acrp7,-10.08745399998794,-67.31440099980438
acrp8,-10.03372399984026,-67.25534199871345
acrp9,-10.066476000000,-67.1897940000000
acrpa,-9.868506,-66.962068
acrq1,-9.805979000000,-67.099118000000
acrq10,-9.967581,-67.468575
acrq11,-9.810752000000,-67.511663000000
acrq12,-9.949172000475633,-67.59838599958735
acrq13,-10.108983,-66.956794
acrq14,-9.768989000000,-67.348527000000
acrq15,-9.501626000,-67.77656400
acrq16,-10.09635999895556,-67.37178600012267
acrq17,-9.60884000000,-67.354404000000
acrq18,-10.244941000000,-67.31546500000
acrq19,-10.245293000000,-67.316192000000
acrq2,-10.03468221829302,-67.10490219986632
acrq20,-9.711426897976862,-67.05440403819232
acrq21,-10.035872000000,-67.165569000000
acrq22,-10.02369399950062,-67.06865399911102
acrq23,-10.38555800,-67.52043000
acrq24,-10.21653500000449,-67.35398899999834
acrq25,-9.933664000120091,-67.46399300058907
acrq26,-9.9674340,-67.46916000
acrq27,-10.2257989960726,-67.46533799896994
acrq28,-10.15740400088889,-67.8625120012511
acrq29,-10.03676100005672,-67.53689800007194
acrq3,-10.04706699667489,-67.30408699761887
acrq30,-10.0793490000292,-67.51263099993382
acrq31,-9.828680000216499,-67.73788699948894
acrq32,-10.22504798534711,-67.46397420598164
acrq33,-10.23641499961454,-67.45303799858198
acrq34,-10.21501899912654,-67.37052299952761
acrq35,-9.938649001018213,-67.60382900006393
acrq36,-10.105877000000,-66.957890000000
acrq37,-9.745558000000,-67.269384000000
acrq38,-9.730557000000,-67.224332000000
acrq39,-9.731890000679192,-67.07684299969537
acrq4,-9.945038,-67.02293299999999
acrq40,-9.663443999985754,-67.17321899999631
acrq41,-9.650764000052867,-67.20446099998708
acrq42,-10.32811000371397,-67.60418999995827
acrq43,-10.28725399998985,-67.5984399999671
acrq44,-10.171695000000,-67.666403000000
acrq45,-10.29527,-67.652247
acrq46,-10.07397099879955,-67.01342899984135
acrq47,-9.968241999099712,-67.32140300037308
acrq48,-10.07941199989592,-67.06626500029842
acrq49,-9.708672000000,-67.233478000000
acrq50,-10.04684999986848,-66.99405899959851
acrq51,-10.225228000000,-67.454654000000
acrq52,-9.747922000000,-67.271432000000
acrq53,-9.736137001007986,-67.31858599802609
acrq54,-9.744973999762976,-67.2307019983799
acrq55,-9.623425000467911,-67.27168100157907
acrq56,-9.793225000000,-67.21916700011477
acrq58,-9.758125000000,-67.194506000000
acrq59,-9.917365063234238,-67.16468204062961
acrq5,-9.749255000000,-67.196476000000
acrq6,-10.21440600000,-67.370670000000
acrq60,-10.06205700009795,-67.55312600033245
acrq61,-9.94154,-67.57334
acrq62,-10.26076200028272,-67.74487300158579
acrq63,-9.898277999604307,-66.77872699966123
acrq64,-10.52654099987479,-67.79824100048182
acrq65,-9.703886000343088,-67.66533900028998
acrq66,-9.631381863486324,-67.24122497479931
acrq67,-9.712352000949817,-67.51543900192867
acrq68,-9.823946004724247,-67.74475399315644
acrq69,-10.17178700020087,-67.66704800084615
acrq7,-9.602188999999999,-67.38279199999999
acrq70,-9.702727001381167,-67.2344900014064
acrq71,-9.700376999849249,-67.22921300172845
